"term","Estimate","odds_ratio","Pr(>|z|)"
"game_typeseries",-39.319605152178,8.38904360488226e-18,0.995184077450076
"game_typedemo",-32.9759730485768,4.77218058590972e-15,0.994303436111487
"game_typemod",-31.9191475484353,1.37306264688205e-14,0.995320994497454
"windows_supportTRUE",-16.680544399605,5.6981202762011e-08,0.996846495084785
"cat_downloadable_contentTRUE",-15.743507488274,1.45439231823328e-07,0.994209311843428
"game_typegame",-14.8610855322661,3.51489663742474e-07,0.997429121370603
"game_typeepisode",-14.6878566794228,4.17969790141256e-07,0.997459088832631
"game_typevideo",-13.5417961467912,1.31483924521617e-06,0.997657349865824
"game_typemusic",-12.5811720687892,3.43610474823888e-06,0.997823531659483
"cat_family_sharingTRUE",4.64693739700371,104.265173265964,8.64767784842145e-195
"game_typedlc",2.72864056841316,15.3120571705604,0.999572846976248
"cat_single_playerTRUE",-2.20855057733529,0.109859766408487,7.00964104863383e-42
